03/24/22 3:30:27: archive-correct.scss - unclosed block: failed at `` /Applications/MAMP/htdocs/wordpress/wp-content/themes/note_jyokyu/scss/parts/footer.scss on line 136, at column 0
03/24/22 3:30:27: index.scss - unclosed block: failed at `` /Applications/MAMP/htdocs/wordpress/wp-content/themes/note_jyokyu/scss/parts/footer.scss on line 136, at column 0
03/24/22 3:30:27: single.scss - unclosed block: failed at `` /Applications/MAMP/htdocs/wordpress/wp-content/themes/note_jyokyu/scss/parts/footer.scss on line 136, at column 0
03/24/22 3:30:27: page-rate-plun.scss - unclosed block: failed at `` /Applications/MAMP/htdocs/wordpress/wp-content/themes/note_jyokyu/scss/parts/footer.scss on line 136, at column 0
03/24/22 3:30:27: page-thanks.scss - unclosed block: failed at `` /Applications/MAMP/htdocs/wordpress/wp-content/themes/note_jyokyu/scss/parts/footer.scss on line 136, at column 0
03/24/22 3:30:27: archive.scss - unclosed block: failed at `` /Applications/MAMP/htdocs/wordpress/wp-content/themes/note_jyokyu/scss/parts/footer.scss on line 136, at column 0
03/24/22 3:30:27: page-contact.scss - unclosed block: failed at `` /Applications/MAMP/htdocs/wordpress/wp-content/themes/note_jyokyu/scss/parts/footer.scss on line 136, at column 0
03/24/22 3:30:27: single-correct.scss - unclosed block: failed at `` /Applications/MAMP/htdocs/wordpress/wp-content/themes/note_jyokyu/scss/parts/footer.scss on line 136, at column 0
03/24/22 3:30:28: archive-correct.scss - unclosed block: failed at `` /Applications/MAMP/htdocs/wordpress/wp-content/themes/note_jyokyu/scss/parts/footer.scss on line 136, at column 0
03/24/22 3:30:28: index.scss - unclosed block: failed at `` /Applications/MAMP/htdocs/wordpress/wp-content/themes/note_jyokyu/scss/parts/footer.scss on line 136, at column 0
03/24/22 3:30:28: single.scss - unclosed block: failed at `` /Applications/MAMP/htdocs/wordpress/wp-content/themes/note_jyokyu/scss/parts/footer.scss on line 136, at column 0
03/24/22 3:30:28: page-rate-plun.scss - unclosed block: failed at `` /Applications/MAMP/htdocs/wordpress/wp-content/themes/note_jyokyu/scss/parts/footer.scss on line 136, at column 0
03/24/22 3:30:28: page-thanks.scss - unclosed block: failed at `` /Applications/MAMP/htdocs/wordpress/wp-content/themes/note_jyokyu/scss/parts/footer.scss on line 136, at column 0
03/24/22 3:30:28: archive.scss - unclosed block: failed at `` /Applications/MAMP/htdocs/wordpress/wp-content/themes/note_jyokyu/scss/parts/footer.scss on line 136, at column 0
03/24/22 3:30:28: page-contact.scss - unclosed block: failed at `` /Applications/MAMP/htdocs/wordpress/wp-content/themes/note_jyokyu/scss/parts/footer.scss on line 136, at column 0
03/24/22 3:30:28: single-correct.scss - unclosed block: failed at `` /Applications/MAMP/htdocs/wordpress/wp-content/themes/note_jyokyu/scss/parts/footer.scss on line 136, at column 0
